STATION,STATION_NAME,DATE,HPCP
COOP:048332,SODA SPRINGS 1 E CA US,19611218 23:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611219 00:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 01:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 02:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 03:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 04:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 05:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 06:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611219 07:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 08:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 09:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611219 11:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 12:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611219 13:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 14:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611219 15:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 16:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 17:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19611219 18:00,0.07
COOP:048332,SODA SPRINGS 1 E CA US,19611219 19:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19611219 20:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611219 21:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611219 22:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611219 23:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611220 00:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611220 01:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611220 02:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611220 04:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611220 05:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611220 06:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611220 07:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611220 08:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611220 15:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611220 16:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611220 17:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611220 18:00,0.07
COOP:048332,SODA SPRINGS 1 E CA US,19611220 21:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611220 22:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611220 23:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611221 00:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611221 02:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611221 04:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611221 06:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611221 08:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611225 13:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611225 14:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611225 15:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611225 16:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19620101 01:00,0.00
COOP:048332,SODA SPRINGS 1 E CA US,19620112 05:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19620112 06:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19620112 07:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19620112 08:00,0.10
COOP:048332,SODA SPRINGS 1 E CA US,19620112 09:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19620112 10:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19620112 11:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19620112 12:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19620112 13:00,0.07
COOP:048332,SODA SPRINGS 1 E CA US,19620112 14:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19620112 15:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19620112 16:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19620112 17:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19620112 22:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19620118 05:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19620118 06:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19620118 07:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19620118 08:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19620118 09:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19620118 10:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19620118 11:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19620118 12:00,0.01
